_id,cpu_type,cpu_name,cpu_socket,compatible_chipsets,int_graphics,semiconductor_size,cpu_tdp,pcie,transistors,cpu_threads,total_clock_speed,turbo,unlocked_multiplier,l2_cache,l3_cache,l1_cache,clock_multiplier,passmark,passmark_s,cinebench_r20_multi,cinebench_r20_single,geekbench6_multi,geekbench6_single,gpu_name,gpu_turbo,opengl_version,opencl_version,ram_speed_max,max_mem_bandwidth,ddr_version,mem_channels,max_mem_size,mem_eec,directx_version
67d4fd4693079e4598e739bf,desktop,AMD A10-5800K,,,TRUE,32,100,2,1303,4,4 x 3.8,4.2,TRUE,4,,192,38,2961,1495,,,1099,450,Radeon HD 7660D,,4.2,1.2,1866,21,3,2,,FALSE,11
67d4fd4693079e4598e73a8c,laptop,Intel Core i5-4308U,,,TRUE,22,28,3,1400,4,2 x 2.8,3.3,,0.5,3,64,28,2957,1838,,,1855,941,Iris Graphics 5100,1200,4.3,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e73a35,laptop,Intel Celeron J4125,,,TRUE,14,10,2,,4,4 x 2,2.7,FALSE,4,,224,20,2957,1161,,,961,346,UHD Graphics 600,750,4.4,3,2400,,4,2,8,FALSE,
67d4fd4693079e4598e73982,desktop,Intel Celeron G3930,lga_1151,,TRUE,14,51,3,,2,2 x 2.9,,,0.5,2,128,29,2943,1665,,,,,HD Graphics 610,1050,4.4,2,2400,38.4,4,2,64,TRUE,12
67d4fd4693079e4598e73a06,desktop,AMD Athlon Silver 3050e,,,TRUE,14,6,3,,4,2 x 1.4,2.8,,1,4,192,,2939,1447,,,1364,713,Radeon Vega 3,1000,4.6,2.1,2400,,4,2,,,12
67d4fd4693079e4598e73abe,laptop,Intel Core i7-4558U,,,TRUE,22,28,3,1400,4,2 x 2.8,3.3,,0.5,4,128,,2937,1798,,,1969,1031,Iris Graphics 5100,1200,4,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e7392b,desktop,AMD Pro A10-8750B,,,TRUE,28,65,3,2411,4,4 x 3.6,4,FALSE,4,,256,36,2935,1320,,,920,397,Radeon R7,,4.6,2.1,2133,,3,2,,FALSE,12
67d4fd4693079e4598e73ba1,desktop,Intel Core i5-2500T,,,TRUE,32,45,2,995,4,4 x 2.3,3.3,,1,6,256,23,2929,1485,,,,,HD Graphics 2000,1250,3,1.1,1333,21,3,2,32,FALSE,10.1
67d4fd4693079e4598e73a75,laptop,Intel Core i5-3380M,,,TRUE,22,35,3,1200,4,2 x 2.9,3.6,,0.5,3,128,29,2916,1774,,,1040,507,HD Graphics 4000,1250,4,1.1,1600,25.6,3,2,32,FALSE,11
67d4fd4693079e4598e7392c,desktop,Intel Celeron J4105,,,TRUE,14,10,2,,4,4 x 1.5,2.5,,4,,224,,2901,1092,,,,,UHD Graphics 600,750,4.4,,2400,,4,2,8,FALSE,12
67d4fd4693079e4598e73b0a,desktop,Intel Core i3-4130T,lga_1150,z97 z87,TRUE,22,35,3,1400,4,2 x 2.9,,FALSE,0.5,3,128,29,2886,1624,,,1778,903,HD Graphics 4400,1150,4,1.2,1600,25.6,3,2,32,TRUE,
67d4fd4693079e4598e739b0,laptop,AMD Athlon Silver 3050C,,,TRUE,14,15,3,,2,2 x 2.3,3.2,FALSE,1,4,192,,2879,1809,,,,,,1100,,,2400,,4,2,32,TRUE,12
67d4fd4693079e4598e73a0d,laptop,Intel Core i3-10100Y,,,TRUE,14,5,3,,4,2 x 1.3,3.9,FALSE,0.5,4,128,13,2873,1616,,,,,UHD Graphics 615,1000,4.5,3,1866,33.3,3,2,16,FALSE,12
67d4fd4693079e4598e73aa4,laptop,Intel Core i5-3360M,,,TRUE,22,35,3,1200,4,2 x 2.8,3.5,,0.5,3,128,28,2871,1754,,,1101,509,HD Graphics 4000,1200,4,1.1,1600,25.6,3,2,32,FALSE,11
67d4fd4693079e4598e73a63,laptop,Intel Core i7-3520M,,,TRUE,22,35,3,1200,4,2 x 2.9,3.6,,0.5,4,128,29,2865,1739,,,1167,574,HD Graphics 4000,1250,4,1.1,1600,25.6,3,2,32,,11
67d4fd4693079e4598e73a70,laptop,Intel Core M3-8100Y,,,TRUE,14,5,3,,4,2 x 1.1,3.4,,0.5,4,128,,2863,1701,412,231,1491,922,UHD Graphics 615,900,4.5,,1866,33.3,3,2,16,FALSE,12
67d4fd4693079e4598e73a37,desktop,AMD A8-5600K,,,TRUE,32,100,2,1303,4,4 x 3.6,3.9,TRUE,4,,192,,2857,1430,,,1012,424,Radeon HD 7560D,,4.2,1.2,1866,21,3,2,,FALSE,11
67d4fd4693079e4598e739d2,desktop,AMD FX-8800P,,,TRUE,28,15,3,3100,4,4 x 2.1,3.4,,2,,320,,2851,1380,,,1194,526,Radeon R7,,,,2133,34.1,3,2,,FALSE,12
67d4fd4693079e4598e73af7,laptop,Intel Core i5-4278U,,,TRUE,22,28,3,1400,4,2 x 2.6,3.1,,0.5,3,64,26,2821,1707,,,1790,918,Iris Graphics 5100,1100,4.3,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e73b43,desktop,Intel Celeron G1620,,,TRUE,32,55,2,995,2,2 x 2.7,,,0.5,2,128,27,2809,1468,,,,,,1050,3,1.1,1333,21,3,2,32,TRUE,10.1
67d4fd4693079e4598e73ade,laptop,Intel Core i5-4200M,,,TRUE,22,37,3,,4,2 x 2.5,3.1,FALSE,0.5,3,128,25,2804,1619,,,1707,876,HD Graphics 4600,1150,4.3,1.2,1600,25.6,3,2,32,FALSE,
67d4fd4693079e4598e739e5,desktop,Intel Celeron G5925,,,TRUE,14,58,3,,2,2 x 3.6,,,0.5,4,128,,2787,2227,,,1266,774,UHD Graphics 610,1050,4.5,,2666,41.6,4,2,128,,12
67d4fd4693079e4598e73a0e,laptop,Intel Core i7-5500U,,,TRUE,14,15,4,,4,2 x 2.4,3,FALSE,0.5,4,128,24,2785,1654,,,1689,882,HD Graphics 5500,950,4.3,3,1600,25.6,3,2,16,FALSE,12
67d4fd4693079e4598e73a2e,desktop,Intel Celeron G5905,lga_1200,,TRUE,14,58,3,,2,2 x 3.5,,,0.5,4,128,,2785,2164,,,1262,740,UHD Graphics 610,1050,4.5,3,2666,41.6,4,2,128,,12
67d4fd4693079e4598e73a80,desktop,AMD A10-5700,,,TRUE,32,65,2,1303,4,4 x 3.4,4,,4,,192,,2741,1430,,,1003,398,Radeon HD 7660D,,4.2,1.2,1866,21,3,2,,FALSE,11
67d4fd4693079e4598e73ab7,laptop,Intel Core i5-5300U,,,TRUE,14,15,2,,4,2 x 2.3,2.9,FALSE,0.5,3,128,23,2733,1634,,,1576,828,HD Graphics 5500,850,4.3,3,1600,25.6,3,2,16,FALSE,
